         1          1     875724
         1          1    1219314
         1          1    1624599
         1          1    1668584
         1          1    2267184
         1          1    4378391
         1          1    5122443
         1          1    5378369
         1          1    5680669
         1          1    8003859
         1          1    8172612
         1          1    8607269
         2          2     879619
         2          2    1345545
         2          2    3849023
         2          2    4221562
         2          2    5006531
         2          2    5944195
         2          2    6868778
         2          2    7559231
         2          2    9144640
         2          2    9747887
         3          3     422658
         3          3     924276
         3          3    1539780
         3          3    1748767
         3          3    3849023
         3          3    4810285
         3          3    5156051
         3          3    6733377
         3          3    7924168
         3          3    8043584
         3          3    9346024
         4          4     519007
         4          4    1464367
         4          4    1940503
         4          4    3147266
         4          4    3512776
         4          4    3897666
         4          4    4341521
         4          4    4671122
         4          4    7787911
         4          4    7831428
         4          4    7994224
         4          4    8773669
         4          4    8904624
         4          4    9332076
         4          4    9798635
         4          4    9823603
         5          5     477007
         5          5    3849023
         5          5    4864868
         5          5    5104207
         5          5    7298086
         5          5    7668108
         5          5    8854193
         5          5    9310318
         5          5    9346024
         5          5    9903158
         5          5    9919866
         6          6     877069
         6          6    2010964
         6          6    2922749
         6          6    5147734
         6          6    5395799
         6          6    5555992
         6          6    7542927
         6          6    9875159
         7          7     265444
         7          7     924276
         7          7    1152023
         7          7    3683732
         7          7    4014510
         7          7    4694326
         7          7    5145379
         7          7    5872053
         7          7    6414201
         7          7    7000535
         7          7    8043584
         7          7    9043350
         8          8    1167643
         8          8    1204725
         8          8    1731843
         8          8    4703479
         8          8    4832581
         8          8    5148489
         8          8    5680669
         8          8    6609486
         8          8    8403369
         8          8    8411386
         8          8    8430533
         9          9    1108653
         9          9    1891858
         9          9    2269245
         9          9    2418903
         9          9    2619822
         9          9    3329325
         9          9    7217524
         9          9    8798873
        10         10     266588
        10         10    2358636
        10         10    3113676
        10         10    3243187
        10         10    3617088
        10         10    4241366
        10         10    4338993
        10         10    5702560
        10         10    6251379
        10         10    7245893
        10         10    7696213
        10         10    8358595
        10         10    8738143
        10         10    8849245
        11         11     200004
        11         11    3043273
        11         11    3066980
        11         11    3152604
        11         11    3683732
        11         11    5145379
        11         11    8778045
        11         11    8927740
        11         11    8976229
        12         12    3097495
        12         12    4923066
        12         12    5122229
        12         12    9340065
        13         13     237334
        13         13    2520300
        13         13    4059788
        13         13    7795466
        13         13    8635051
        13         13    8925957
        13         13    9346024
        14         14     391168
        14         14    1410666
        14         14    2063291
        14         14    3771538
        14         14    4038207
        14         14    4460853
        14         14    4673764
        14         14    5040278
        14         14    5141938
        14         14    6102084
        14         14    6342564
        14         14    6703678
        14         14    6772906
        14         14    6806907
        14         14    9436501
        15         15     237334
        15         15     244338
        15         15     252651
        15         15    1671752
        15         15    1745047
        15         15    2159571
        15         15    3043273
        15         15    4601969
        15         15    5363361
        15         15    6000063
        15         15    6297224
        15         15    6375308
        15         15    6566917
        15         15    7781294
        15         15    7845220
        15         15    8006303
        15         15    9710749
        16         16    2475849
        16         16    3097495
        16         16    4624529
        16         16    7547133
        16         16    8500608
        16         16    9725401
        16         16    9835561
        16         16    9934607
        17         17    3252701
        17         17    3612088
        17         17    4167809
        17         17    4574896
        17         17    8827280
        17         17    8950453
        18         18     266588
        18         18     865652
        18         18    2873241
        18         18    4338993
        18         18    5702560
        18         18    6297224
        18         18    6300974
        18         18    7586194
        18         18    9343673
        18         18    9661339
        18         18    9710749
        19         19    4702729
        19         19    6734406
        19         19    9934607
        20         20     692000
        20         20    3070681
        20         20    3801387
        20         20    4114200
        20         20    5141972
        20         20    7552513
        20         20    9519922
        21         21    2088931
